  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   1.61945         0     6    0.23146         1       1918.68         42.6019  40.7248    53.95       42        2      7         36       42  99.999  18.776        0.031   79.8345             0.055        0.052  78.4466       80.066  19.395  19.933        9.999   501385        9.999    4.31543e+22        0            0.105  11.5725          0            168.06
   1   1.6192          0     2    0.226703        1       -162.84         42.9869  40.358     25.93       41        2     13         59       42  99.999  18.812        0.039   79.8383             0.064        0.05   78.4458       80.065  19.368  19.934        9.999   502674        9.999    4.31483e+22        0            0      11.5735          0           1524.88
   2   1.6192          0     2    0.226703        1       2495.27         42.4982  40.9784    54.81       43        2     53.7       29       42  99.999  17.65         0.04    79.8383             0.073        0.029  78.4458       80.065  18.878  19.934        9.999   500076        9.999    4.31483e+22        0            0      11.5735          0           -803.79
   2   1.6192          0     2    0.226703        1        668.11         42.8222  40.0725    17.39       40        2     19.9       49       42  99.999  17.111        0.043   79.8383             0.088        0.031  78.4458       80.065  18.588  19.934        9.999   504059        9.999    4.31483e+22        0            0      11.5735          0           2661.96
   2   1.61895         0     2    0.221934        1       2469.68         42.4825  40.1134    27.22       40        2     57.1       28       42  99.999  17.347        0.03    79.8421             0.07         0.024  78.445        80.064  18.728  19.935        9.999   503924        9.999    4.31423e+22        0            0      11.5745          0           2570.22
   2   1.6187          0     2    0.217152        2       1287.38         42.7093  40.2284    54.81       40        2     33.4       42       42  99.999  19.263        0.043   79.8458             0.059        0.056  78.4443       80.063  19.558  19.936        9.999   503171        9.999    4.31363e+22        0            0      11.5755          0           2079.11
   2   1.6187          0     1    0.217152        1       2593.07         42.4716  40.6005    24.13       42        2     17.7       28       42  99.999  18.479        0.056   79.8458             0.082        0.036  78.4443       80.063  19.155  19.936        9.999   501802        9.999    4.31363e+22        0            0      11.5755          0            673.37
   1   1.61845         0     1    0.212357        1       1966.73         42.5822  40.2813     7.5        41        2     55.8       34       42  99.999  19.191        0.053   79.8496             0.068        0.067  78.4436       80.062  19.523  19.937        9.999   503027        9.999    4.31303e+22        0            0      11.5765          0           1897.45
  17   1.61819         0     9    0.20755         1       1380.69         42.7026  40.6775    42.61       42        2      9.5       42       42  99.999  17.25         0.02    79.8534             0.072        0.012  78.4428       80.061  18.731  19.938        9.999   501530        9.999    4.31243e+22        0.007        0.031  11.5775          0            335.7
   1   1.61794         0     1    0.20273         1        192.45         42.9115  40.0467    11.21       40        2     41.3       54       42  99.999  19.18         0.067   79.8573             0.099        0.06   78.4421       80.06   19.675  19.939        9.999   504173        9.999    4.31184e+22        0            0      11.5785          0           2743.8
  17   1.61794         0     9    0.20273         1       1482.36         42.6734  40.2655     3.72       41        2     24.2       40       42  99.999  17.24         0.02    79.8573             0.068        0.012  78.4421       80.06   18.741  19.939        9.999   503059        9.999    4.31184e+22        0.009        0.017  11.5785          0           1941.63
   2   1.61794         0     1    0.20273         1       1983.45         42.5796  40.3037    12.89       41        2     46.5       34       42  99.999  18.151        0.037   79.8573             0.099        0.034  78.4421       80.06   18.921  19.939        9.999   502953        9.999    4.31184e+22        0            0      11.5785          0           1810.61
   2   1.61768         0     1    0.197897        1       1790.45         42.6196  40.4418    46.02       41        2     10.5       37       42  99.999  19.103        0.052   79.8611             0.09         0.044  78.4413       80.059  19.502  19.94         9.999   502399        9.999    4.31124e+22        0            0      11.5795          0           1266.18
   4   1.61768         0     3    0.197897        1       1182.14         42.7443  40.868     28.31       43        2     39.5       44       42  99.999  18.188        0.028   79.8611             0.08         0.025  78.4413       80.059  19.011  19.94         9.999   500677        9.999    4.31124e+22        0.016        0.007  11.5795          0           -410.37
  14   1.61715         0     2    0.188193        1       1575.22         42.659   40.3913    33.92       41        2     32.5       39       42  99.999  18.803        0.051   79.8688             0.062        0.022  78.4398       80.057  19.362  19.942        9.999   502606        9.999    4.31004e+22        0.037        0      11.5815          0           1455.25
